Monat      Durchschnitts-Inzidenz
------------------------------
2020-01                0.00
2020-02                0.01
2020-03               11.25
2020-04               26.31
2020-05                6.04
2020-06                3.38
2020-07                3.42
2020-08                7.94
2020-09               10.88
2020-10               44.78
2020-11              132.77
2020-12              166.86
2021-01              130.66
2021-02               65.83
2021-03               89.17
2021-04              139.56
2021-05               86.34
2021-06               16.17
2021-07                8.99
2021-08               42.32
2021-09               80.64
2021-10               89.80
2021-11              320.04
2021-12              357.08
2022-01              663.47
2022-02            1,465.59
2022-03            1,572.16
2022-04              984.91
2022-05              397.65
2022-06              379.09
2022-07              616.05
2022-08              303.15
2022-09              244.90
2022-10              530.44
2022-11              208.03
2022-12              202.15
2023-01              102.36
2023-02               95.25
2023-03               58.95
2023-04               18.98
2023-05                8.21
2023-06                2.94
2023-07                1.69
2023-08                4.70
2023-09               10.02
2023-10               18.26
2023-11               31.89
2023-12               37.72
2024-01               15.61
2024-02                5.44
2024-03                1.93
2024-04                0.98
2024-05                1.35
2024-06                2.75
2024-07                6.47
2024-08                7.11
2024-09               10.63
2024-10               17.14
2024-11               13.03
2024-12                9.32
2025-01                5.20
2025-02                3.20
2025-03                1.57
2025-04                1.00
